domainId,instanceId,comparableId,feature0,feature1,feature2,feature3,feature4,feature5,delta_x0,delta_x1,delta_x2,delta_x3,delta_x4,delta_x5,delta_y0,delta_y1,delta_y2,delta_y3,delta_y4,delta_y5,pred,actual,adjusted_step_number,adjusted_order,adjusted_price
0,0,0,2.5,2.13,4.0,8.0,14.1357765,29.0,-0.25,-0.06,0.0,0.0,-0.09,0.0,-3.41,-0.76,0.0,0.0,-0.58,0.0,501.2,435,3,"0,1,4","431.6,430.8,430.2"
0,0,1,2.5,2.05,4.0,8.0,14.417994,29.0,-0.25,0.02,0.0,0.0,-0.38,0.0,-34.79,-8.19,0.0,0.0,45.89,0.0,496.4,404,3,"0,1,4","369.1,360.9,406.8"
0,1,0,2.75,2.61,4.0,8.0,5.008652,37.0,0.25,0.29,1.0,0.0,0.46,1.0,-22.8,86.69,62.7,0.0,-17.7,15.84,841.1,762,5,"0,1,2,4,5","739.7,826.4,889.1,871.4,887.2"
0,1,1,2.25,2.87,4.0,8.0,4.512196,38.0,0.75,0.03,1.0,0.0,0.96,0.0,-56.66,-5.84,48.25,0.0,-16.35,0.0,1025.9,890,4,"0,1,2,4","833.3,827.5,875.8,859.4"
0,1,2,2.5,2.62,4.0,8.0,6.645386,38.0,0.5,0.28,1.0,0.0,-1.17,0.0,-22.75,-8.33,75.45,0.0,213.78,0.0,817.6,680,4,"0,1,2,4","657.2,648.9,724.4,938.1"
0,2,0,2.5,3.54,3.0,10.0,10.340055,19.0,0.0,0.23,0.0,1.0,-0.41,-1.0,0.0,-67.97,0.0,91.65,101.24,-29.47,960.6,925,4,"5,1,3,4","895.5,827.6,919.2,1020.4"
0,3,3,1.0,1.26,3.0,7.0,6.8373313,64.0,0.0,0.17,0.0,0.0,-0.91,-3.0,0.0,19.21,0.0,0.0,130.28,-68.31,365.0,380,3,"5,1,4","311.7,330.9,461.2"
0,4,6,1.0,0.7,3.0,7.0,1.6436635,93.0,0.0,0.27,0.0,0.0,-0.29,12.0,0.0,83.55,0.0,0.0,14.05,-53.34,415.5,430,3,"1,4,5","513.5,527.6,474.3"
0,5,5,1.0,1.57,3.0,7.0,11.243097,62.0,0.0,0.61,0.0,0.0,-1.08,3.0,0.0,34.83,0.0,0.0,15.14,-4.52,352.2,330,3,"1,4,5","364.8,380.0,375.4"
0,6,3,1.0,1.01,3.0,7.0,13.167129,46.0,0.0,0.28,0.0,0.0,0.75,-7.0,0.0,11.9,0.0,0.0,-0.71,5.31,264.6,270,3,"5,1,4","275.3,287.2,286.5"
0,7,2,2.0,1.97,4.0,7.0,22.415121,48.0,0.0,0.22,0.0,0.0,0.88,-10.0,0.0,15.19,0.0,0.0,-4.96,-2.83,285.5,295,3,"5,1,4","291.9,307.1,302.1"
0,8,0,2.0,1.72,4.0,7.0,11.077643,46.0,0.25,0.05,0.0,0.0,0.66,-7.0,-9.43,15.76,0.0,0.0,-8.75,-12.63,410.6,402,4,"5,0,1,4","389.4,379.9,395.7,387.0"
0,8,3,2.25,1.85,4.0,7.0,9.993136,38.0,0.0,-0.08,0.0,0.0,1.74,1.0,0.0,-23.85,0.0,0.0,-55.12,8.68,462.9,461,3,"1,4,5","437.1,382.0,390.7"
0,8,7,2.25,2.14,4.0,7.0,10.959512,38.0,0.0,-0.37,0.0,0.0,0.78,1.0,0.0,-48.33,0.0,0.0,-17.37,1.98,456.6,465,3,"1,4,5","416.7,399.3,401.3"
0,8,9,2.5,1.99,4.0,7.0,10.871579,41.0,-0.25,-0.22,0.0,0.0,0.87,-2.0,-8.4,-5.91,0.0,0.0,-27.72,2.25,440.5,438,4,"1,5,0,4","432.1,434.3,425.9,398.2"
0,9,0,2.5,1.6,3.0,7.0,19.28824,15.0,0.0,0.05,0.0,0.0,0.6,2.0,0.0,5.57,0.0,0.0,-4.88,-10.65,298.2,280,3,"1,4,5","285.6,280.7,270.0"
0,9,1,2.5,1.6,3.0,7.0,19.274006,15.0,0.0,0.05,0.0,0.0,0.62,2.0,0.0,5.57,0.0,0.0,-4.88,-10.65,298.2,290,3,"1,4,5","295.6,290.7,280.0"
0,9,7,2.5,1.74,3.0,7.0,18.531914,16.0,0.0,-0.09,0.0,0.0,1.36,1.0,0.0,-14.9,0.0,0.0,-15.17,-0.97,298.1,302,3,"1,4,5","287.1,271.9,270.9"
0,10,0,1.75,1.76,4.0,7.0,5.5510626,88.0,0.25,0.22,0.0,0.0,-0.29,-2.0,-21.23,33.33,0.0,0.0,18.62,-54.84,583.4,605,4,"5,0,1,4","550.2,528.9,562.3,580.9"
0,10,1,2.0,2.12,4.0,7.0,6.120441,88.0,0.0,-0.14,0.0,0.0,-0.86,-2.0,0.0,-53.7,0.0,0.0,18.01,0.29,603.6,597,3,"1,4,5","543.3,561.3,561.6"
0,10,2,1.75,1.75,4.0,7.0,5.379742,86.0,0.25,0.23,0.0,0.0,-0.12,0.0,-9.17,28.55,0.0,0.0,40.22,0.0,548.6,525,3,"0,1,4","515.8,544.3,584.6"
0,10,9,2.0,2.23,4.0,7.0,2.7603204,93.0,0.0,-0.25,0.0,0.0,2.5,-7.0,0.0,-8.21,0.0,0.0,-10.44,-108.47,674.6,690,3,"5,4,1","581.5,571.1,562.9"
0,11,2,1.0,1.56,4.0,6.0,10.472543,61.0,0.0,0.22,0.0,0.0,-1.98,7.0,0.0,33.76,0.0,0.0,25.82,-44.89,310.7,305,3,"1,4,5","338.8,364.6,319.7"
0,12,8,1.5,1.24,4.0,7.0,17.992338,49.0,0.0,0.03,0.0,0.0,-2.86,2.0,0.0,6.62,0.0,0.0,25.96,-5.57,231.3,215,3,"1,4,5","221.6,247.6,242.0"
0,12,9,1.5,1.58,4.0,7.0,13.064898,54.0,0.0,-0.31,0.0,0.0,2.07,-3.0,0.0,-38.88,0.0,0.0,-6.53,4.12,305.9,300,3,"1,5,4","257.6,261.7,255.2"
0,13,2,1.5,1.19,3.0,7.0,5.217506,75.0,0.0,-0.1,0.0,0.0,0.91,-2.0,0.0,-18.24,0.0,0.0,-18.74,-12.73,473.8,500,3,"5,1,4","487.3,469.0,450.3"
0,13,5,1.5,1.0,3.0,7.0,7.510711,68.0,0.0,0.09,0.0,0.0,-1.38,5.0,0.0,7.82,0.0,0.0,112.92,-44.41,351.2,378,3,"1,4,5","385.8,498.7,454.3"
0,14,0,2.0,1.71,5.0,8.0,20.01677,39.0,0.5,-0.23,0.0,-1.0,4.9,-19.0,9.07,-13.84,0.0,-20.04,-16.37,15.32,303.6,280,5,"3,0,5,1,4","260.0,269.0,284.4,270.5,254.1"
