domainId,instanceId,feature0,feature1,feature2,feature3,feature4,feature5,pred,actual
0,0,2.5,3.77,3.0,11.0,9.92551,18.0,1015.3,1038.0
0,1,1.75,1.93,3.0,7.0,11.576045,52.0,377.2,385.0
0,2,2.25,1.96,3.0,7.0,4.885039,12.0,421.5,365.0
0,3,1.0,0.52,3.0,5.0,3.9085732,85.0,258.5,275.0
0,4,2.25,2.39,5.0,9.0,6.3845844,53.0,1059.8,984.0
0,5,4.25,3.92,3.0,9.0,15.645469,15.0,856.0,827.5
0,6,1.0,0.83,4.0,6.0,9.707744,61.0,258.1,282.6
0,7,1.0,1.36,4.0,5.0,10.956049,62.0,289.2,253.2
0,8,2.0,1.65,4.0,6.0,9.55134,55.0,368.5,334.0
0,9,1.0,1.62,5.0,6.0,8.738911,94.0,376.8,350.0
0,10,2.5,2.79,3.0,9.0,14.763295,16.0,676.2,695.0
0,11,2.0,1.54,4.0,7.0,20.282698,31.0,271.6,252.0
0,12,2.5,2.27,5.0,8.0,7.970397,43.0,625.9,619.8
0,13,2.0,2.08,4.0,8.0,10.3479595,33.0,574.3,590.0
0,14,2.5,2.62,3.0,9.0,9.982572,25.0,663.9,683.0
0,15,1.5,1.04,4.0,7.0,8.380532,57.0,374.0,411.1
0,16,3.0,3.46,3.0,9.0,15.448983,27.0,756.7,730.0
0,17,1.75,2.38,3.0,8.0,3.9416983,98.0,740.3,725.0
0,18,1.5,1.3,5.0,7.0,9.938618,59.0,388.3,396.0
0,19,2.5,1.95,3.0,7.0,20.717442,2.0,309.6,309.0
0,20,1.75,2.26,3.0,7.0,7.500724,67.0,490.7,467.5
0,21,1.75,1.61,3.0,7.0,11.094057,47.0,397.4,371.0
0,22,2.25,1.24,3.0,7.0,13.19075,7.0,331.2,331.0
0,23,2.25,1.347,3.0,7.0,8.820271,5.0,329.3,321.0
0,24,2.25,1.84,3.0,8.0,8.451474,54.0,491.7,472.8
0,25,1.75,2.12,4.0,8.0,4.195712,74.0,763.9,710.0
0,26,3.0,2.11,4.0,7.0,3.1951525,50.0,506.9,565.0
0,27,1.0,1.52,4.0,7.0,5.688977,88.0,556.6,535.0
0,28,2.0,1.59,3.0,8.0,19.116117,14.0,333.9,337.0
0,29,2.5,2.13,3.0,7.0,15.618348,37.0,345.1,320.0
0,30,2.5,4.12,3.0,10.0,14.486323,18.0,925.3,863.0
0,31,1.75,1.73,4.0,8.0,9.14332,50.0,521.8,515.0
0,32,2.75,2.3,4.0,9.0,4.518916,65.0,1042.1,900.0
0,33,2.5,1.89,3.0,7.0,20.195446,11.0,304.5,298.5
0,34,1.0,1.14,4.0,6.0,8.6379795,66.0,310.9,330.0
0,35,1.0,0.97,4.0,7.0,3.8154037,99.0,484.1,515.0
0,36,1.75,1.37,4.0,8.0,15.68103,40.0,332.3,276.2
0,37,2.5,1.84,3.0,7.0,10.545228,44.0,400.8,380.0
0,38,2.0,1.49,3.0,7.0,19.994852,25.0,259.2,255.0
0,39,1.0,1.36,3.0,7.0,7.497078,59.0,327.5,355.0
0,40,2.5,2.83,3.0,10.0,5.6402574,1.0,1106.9,970.0
0,41,2.5,1.7,3.0,8.0,5.2230506,17.0,501.6,475.0
0,42,2.5,2.643,3.0,8.0,19.084852,3.0,404.2,377.0
0,43,2.75,2.55,3.0,9.0,10.1294775,26.0,688.8,669.9
0,44,2.25,2.1,3.0,8.0,19.416073,37.0,323.4,280.0
0,45,2.5,1.82,4.0,7.0,10.328035,60.0,434.4,453.0
0,46,2.75,1.35,3.0,8.0,6.3915234,9.0,401.7,405.5
0,47,1.75,1.76,5.0,7.0,5.722518,89.0,588.0,528.0
0,48,2.0,1.47,4.0,7.0,24.389334,47.0,253.5,254.6
0,49,2.0,2.0,5.0,7.0,2.653427,90.0,622.9,630.0
